,name,location
1,"I came solo and tried the 5-course tasting menu with wine pairings.
It was a solid choice.  I was initially worried that the first 2 courses had too little food, but by the 3rd course realized the quantities were perfect.   They allowed me to relish...More","Warsaw, Indiana"
2,"The restaurant is so romantic and nice, and the food they serve is really good. The price depends on what you would like to eat, so it is for all kinds of budgets.",
3,"The food in this restaurant is really nice. The restaurant itself is stylish decorated and the toilets are really cool ;-). There is nothing bad to say about this place, it's just a place to go while your in Copenhagen. Don't miss it.",Switzerland
4,"This place is great for a variety of different occasions. Whether it be a date or a family dinner, the food is delicious and the wait staff is very helpful. The menu is dependable and the atmosphere is great.","Copenhagen, Denmark"
5,"14 of us visited Copenhagen in April 2016, we found this restaurant on Tripadvisor and took the gamble on pre-booking and arranging our choices before we arrived. The service was excellent, emails and communications were clear and simple to organise, then cam e the night...More",
6,"The surf and turf here is really absolutely amazing, we also had a couple of vegetarian dishes which were also excellent and well presented. They have a really good wine list and great staff. We were really pleased with our evening here.","Witney, United Kingdom"
7,"Really funky restaurant serving some wonderful food. Not the cheapest restaurant in Copenhagen but you very much get what you pay for. 

Whilst I can't fault the chef, the bar staff may need a little improvement. We ordered a few cocktails on arrival which to...More",
8,"The best Surf 'n' Turf in Copenhagen - no doubt. Friendly staff, great location and very cozy! Will come back for sure!","Copenhagen, Denmark"
9,"Booked because the have gluten free options, and we where not disappointed. it's a small restaurant spread out over to floors and cosy tables if it is just the two of you.
Small menu, and everthing we had was prepared and seasond well. Nice wines...More",
0,"The interior is very nicely decorated, all candle lid. The food vas very delicious any very exclusive Sticked with the menu which was way satisfactory. Highly recommended","Rome, Italy"
1,"Lovely little place. Food was excellent, the atmosphere was good and the service was friendly. Next time I'm in Copenhagen I'll be going back!","Reading, United Kingdom"
2,"Tight is very nice place to have dinner, industrial decoration and young people mainly as clients. I recommend the pork schnitzel, really fantastic! Price is ok to be Copenhaguen.","Bilbao, Spain"
3,"Stumbled across this restaurant and so glad we did. The food was up there with the best I've ever had. The staff were friendly, and efficient.
Everything we ordered was superb. Pork was very good but the most exceptional was the chocolate fondant. 
I would...More",North West
4,"Great food in the Centre of Copenhagen. Make a reservation, can be quite busy. Food is delicious. 3Course and 2 wines for approx 80 euros. I really liked the ribs, big portion as well. My favorite place in the city!","Den Bosch, The Netherlands"
5,"We ate here the first evening we were in Copenhagen and the staff was wonderful, friendly, helpful. One son has a gluten allergy, and they steered him correctly, Plenty of choices for the picky eaters in the group. Fun atmosphere - felt like we were...More","Chicago, Illinois"
6,We arrived on a busy Friday evening without a booking but were quickly offered a table. We were lucky as the restaurant is obviously very popular as later guests were queuing for a table or turned away. Mostly a young crowd. Modern but atmospheric candlelit...More,"Bury St. Edmunds, United Kingdom"
7,"Tasty food, friendly service, reccommended. We were 15 people an we had a very good dinner. Big plates, very good value compared to Copenhagen overall prices.","London, United Kingdom"
8,"We were recommended this by a friend, and will be passing on our recommendation too! 
We arrived 10 mins late to our booking, and were just on the verge of losing the table, but staff were great and got us straight to our table. Clearly...More","London, UK"
9,Went to celebrate my boyfriends birthday. We booked in January thinking Easter would be busy. We could only get a table for 6.30pm. The food was amazing. Service was great too. Our waitress offered a complimentary drink which I thought was very thoughtful. I'm veggie...More,"Swindon, United Kingdom"
0,"When we walked in here from the cold we were struck by the warm & friendly atmosphere - low lighting, rustic wood & candlelight. It was very busy and we were a party of five but they found us a table quickly and our order...More","London, United Kingdom"
1,Good burger and beer and fresh fish with vegetables. The restaurant had a contemporary and vibrant atmosphere. Very nice.,"Manchester, United Kingdom"
2,Went here for fiance's 30th birthday after finding it on Trip Advisor & so glad we did. The place is really welcoming & romantic. The staff are friendly & helpful. We had their famous burger & it was so good. Not cheap but not expensive...More,southampton
3,The food here was top class and the menu very inventive. Had the surf and turf which was delicious and the desserts are incredible. Staff were attentive and served us quickly. Very friendly and casual atmosphere. Would recommend this resturant to anyone visiting Copenhagen.,
4,"From the moment I walked in the place, I knew that I would enjoy the food and atmosphere. The wait staff was very friendly. We were greeted and it was apparent that you should book a reservation at this place due to its activity. I...More","Panama City, Panama"
5,Very nice place. Especially the Cod was Awesome and worth trying. We also asked for a salad off menu which was excellent. Totally recommend the restaurant,
6,"Very busy but a lovely place to dine, staff really polite and professional. The standard of food is great, not a massive choice but all items seemed enticing. Prices were fare.
I had the ribs and they were to die for.
A real safe bet...More","Milton Keynes, United Kingdom"
7,We were looking for somewhere to eat on our last night in cup and there aren't many places open on a Sunday. We checked out trip advisor and thought we'd give it a try. We hadn't booked but they had a table and were given...More,"Greater London, United Kingdom"
8,"Having booked this restaurant from Trip Advisor reviews, I was in no way disappointed. Lovely helpful staff and great food and not at all over priced for Copenhagen.  Would highly recommend",Essex
9,Really nice meal. Visited on a Sunday evening and it was busy. The menu is mostly American type food but cooked perfectly. Service was excellent.,"Ruislip, United Kingdom"
0,"Good hearty food, home-brewed beer, cosy and welcoming, what's not to like? Ok my burger and fried potatoes did cost £15 but it was one of the tastiest burgers I've ever had and no matter where you eat out in this part of the world...More","Liverpool, United Kingdom"
1,"We enjoyed our meal at Tight in Copenhagen.  Service was friendly and fast. They also had a good selection of beers.  I ordered the burger which was absolutely fantastic!! Check out the photo, the meat was of great quality served on a foccacia bun with...More","Cardiff, United Kingdom"
2,"Was wanting some food but not your usual place so jumped on trip advisor and found this place so based on previous reviews gave it a shot.

Location is good and central but hidden down some side road off the main shopping parade.

Atmosphere is...More",
3,Loved this. Quick service and lovely tasting food. Great atmosphere for couples. Would definitely go again when Back in Denmark,"London, United Kingdom"
4,"This is an ordinary cafe with offer nothing very special. Could have been much better because in Denmark. Small portions, expensive, tight in seats for sure, but is not cozy.","Dublin, Ireland"
5,"Managed to squeeze in a late table here.  Staff, food and atmosphere all superb.  Loved it, and would most certainly return.",London
6,"A real cosy place started by a Canadian, frenchman and an Aussie, I think.
Its a great restaurant with lovely food.",Denmark
7,"This restaurant was exactly what was needed for two students on a couples mini break - reasonably priced (my risotto was 140kr I think and burger was 145kr). The risotto and the burger were both great, good portion sizes and tasty. The staff were friendly,...More",
8,"My wife and I booked for the Saturday night as we was in Copenhagen for the weekend I had the half rack of ribs they were superb and fell of the bone, my wife had the quail which again was superb and as it was...More","Horsham, United Kingdom"
9,"Booked here from the UK -really simple to do, and advised because it was busy even on a Sunday evening.
Great menu choice, we had pork medallions and Ribs with trio of Creme Brûlée to finish - very good indeed!
Staff were really friendly, and...More","Manchester, UK"
0,"In the narrow street of Hyskenstrædet, just between Strøget and Strædet - suddenly the full wall Window of Thight's show you their cool modern restaurant.

And inside, our French (but luckily Engslish speaking) waiter server us very well, and really had som good wine recommadations....More","Haugesund, Norway"
1,The food was great - as was the service! I would definitely recommend this restaurant and I will come back here for sure. :),
2,"I have been here for a dinner with friends. Located on a side street by the main walking street of Copenhagen, it is clean and cozy, with the tables supported by a real barrel. The service was very good, our waitress fast and very nice....More","Copenhagen, Denmark"
3,"I am really fussy 

Great food
Great staff
Clean toilets and facilities 
What lore can you want 
Make sure you visit and I am super picky","Tamworth, United Kingdom"
4,"I had a salmon gravlax and Australian beef steak. Both plates where reasonably good. The salmon was nice and fresh. The beef was very good, nice potato and interesting sauce. Price not very high. Pleasant place well located.","Western Poland, Poland"
5,Would definitely recommend Tight - had some of the best food I've ever had! Asparagus risotto with apple is amazing & fabulous desserts! Also very reasonably priced for the quality and experience. Will definitely go back if I'm ever in Copenhagen again!,
6,"Tight really had great service, everyone was friendly and professional. Drinks and food came timely, we were checked up upon a few times and we were given recommendations. Food was good, not exceptional but Tight is definitely worth a visit.","Helsinki, Finland"
7,"We made a Friday night reservation at Tight based on the wonderful reviews we read on TripAdvisor - we were not disappointed. The restaurant is laid out over multiple levels, which allows for a more intimate atmosphere despite the fact that it became quite crowded...More","Chicago, Illinois"
8,"Staff was very nice and friendly. Had a surf and turf, it was VERY nice. Except the coleslaw, but who cares, the meat was amazing.  

The ribs looked pretty good too.  Nice atmosphere and very central.","Oslo, Norway"
9,"Visited here as recommend by reception at our hotel as his favourite restaurant in the city. Can't beat locals recommendations!! Described as Australian French fusion.  
Five course taster menu with flight of wines for around 55k was fabulous value and delicious!  Staff were fantastic, knowledge...More","Chelmsford, United Kingdom"
0,"Tight has great reviews on Tripadvisor and they are well-deserved. The restaurant has a cool, rough look, with exposed brick, steel pipes and wooden floors. It still has a nice warmth though. The menu was varied and had something for everyone, from burgers, to seafood...More","Oslo, Norway"
1,Friendly staff and attentive service.  Unfortunately our gravalux starter had a very very salty aioli accompaniment. We ate the gravalux and mentioned to the waitress that the aioli was so salty. She obviously told the chef and he agreed that it had been over salted....More,London
2,"Highly recommended. We walked in midweek without a reservation and we're shown to a lovely table. The food was American influenced and excellent. Service was attentive, professional and friendly.","Singapore, Singapore"
3,"I ate in this resturant. i have had a great dinner. The food was very tasty and good presentation.
I ate Australian flank with mash potatoes and fried onions!
The location is also nice, above all the first floor that has wall made by red...More","Province of Monza and Brianza, Italy"
4,"Another place recommended to us. We arrive without a booking (table of 6) and they JUST managed to squeeze us in in the front area on Saturday evening.

The food is honestly brilliant. It's a bit on the pricey-side (let's be honest, where in CPN...More","Liverpool, United Kingdom"
5,"Friendly staff. Awesome fish soup and surf & turf - the 150g portion perfect for a lady who also has a starter, main course & wine. Exceptional food and service in a great restaurant - prices reasonable 
for Copenhagen.",
6,"We  tasted good dishes. I suggested quail and pork ribs. Nice place with pleasent staff
If you go on the week end it is batter to reserve in advance a table.",
7,"Title says it all. Came here with my girlfriend for dinner in February and we were both very pleased with Tight. The location is convenient and right downtown just off the Strøget.

Staff were very friendly and the service was attentive throughout our meal. The...More",Lantzville
8,"We chose to eat at Tight for our last night in Copenhagen.  We made a reservation in advance, which seemed to be a good thing because they were very busy!  Service was a little slow, but our waitress had a huge party to take care...More","Kansas City, Missouri"
9,"Starters was great, we had mussels and some kind of potato cake. Tasted excellent. For main courses: surf and turf and rack of ribs. The prices are reasonable and service is attentive. Overall, great place to enjoy a nice dinner","London, United Kingdom"
0,"My gf and I had heard about this place because of the gluten free food choices, and reasonable prices, and we were not disappointed

Thankfully and luckily we had booked earlier that day (Sat night=busy). Staff were very friendly and knowledgable about my gf's dietary...More","Bexley, United Kingdom"
1,"Came here after reading some trip advisor reviews and we were not disappointed! We managed to get a table but I think most of the other guests had made reservations. 
My husband and I both had the Tight burger - one veggie (we asked the...More","St. Albans, United Kingdom"
2,"This is a very good restaurant with interesting decorating and good food.
We went for a dinner and choose two different dishes. They were booth delicious.
Good Tight burger...
Recommended","Zurich, Switzerland"
3,"We came in on a saterday night without a reservation, luckily they still had a tabel open for an hour or so. They quickly helped us but we didnt feel rushed or anything. We had the small surf and turf which was great, als desert...More",
4,"My girlfriend and I spent three nights in Copenhagen.  As most people know it's one of Europe's most expensive cities and so we decided to only have one full on dinner out while we were there.  

We chose tight based on the reviews and it...More","Cardiff, United Kingdom"
5,"Lovely restaurant in the city centre! The food is absolutely delicious! Everyone has to try the burger, the best ever! Very good prices for the quality and the portions you get. Good selection of wines too. Service - brilliant! Definitely a place to visit in...More","London, England, United Kingdom"
6,Went here on our 3rd night in Copenhagen for my fiancées birthday. It was very good for the amount of money we spent. Full rack of ribs and a spicy pork schnitzel which were both really tasty. Huge glasses of wine which was amazing! Other...More,
7,I booked a table on the 13th February to dine with my Fiance as it was his birthday on Valentine's Day. The staff were very attentive and took note that it was my Fiance's birthday and arranged for bubbly as we arrived and a candle...More,"London, United Kingdom"
8,"Great meal here. Might be worth booking a table at the weekend, lots of people turned away on a sat night.","Liverpool, United Kingdom"
9,"It is incredible food!!! the surf and turf is unbelievable! It's good for business, family and friendly dinners! even dates! 
The service is also very good, all the wait staff and managers are friendly and catering! The manager Maria made us feel right at home!",
0,"Excellent food at a reasonable price for the heart of a city which is a little expensive.  We seldom choose to eat in the same place twice, so this is a very good recommendation.","Billericay, United Kingdom"
1,I was fearful I wouldn't be able to eat anything here but the staff were very accommodating to me. My boyfriend had the huge beef burger which he loved and I had the potato starter (which was amazing) and the chef made me a vegan...More,"Dundee, United Kingdom"
2,"I found this place kind of by accident, taking a detour down a side street, the staff, like most people i found in copenhagen, where lovely, the food was very well presented in lovely warm stylish surroundings, I reccomend the burger, it was huge, I...More","Birkenhead, United Kingdom"
3,Great food and atmosphere! Good service with a smile and very good salmon and BBQ ribs. Also their own draft beer was excellent.,
4,Great restaurant in the centre of Copenhagen. The decoration is very inventive and the atmosphere is top. Very friendly service and really good food as well.,"Nieuwkerken-Waas, Belgium"
5,"Great atmosphere, friendly staff and wonderful food. An absolute pleasure. Reasonably priced by Copenhagen standards too. Only gripe.. It wasn't made clear that it was 20DKK per person for water at the table. I'd have sooner spent the money on their tasty house beer :)","Nottingham, United Kingdom"
6,"Ignore every pun that is going through your head as soon as you see the name...... This restaurant is amazing!

The atmosphere is really chilled and relaxed, the staff are super friendly.  There is no rushing you at all, there was a delay with our...More","Cheshire, United Kingdom"
7,"will definitely return here again.
Go for the Chai if you can for drinks and the risotto was really good.
They also have vegan & gluten free options if you want","London, United Kingdom"
8,"Nice atmophere, friendly staff and really good food. I could write a long story but it is simply an amazing restaurant.",'s-Hertogenbosch
9,"The staff at tight squeezed us in on a Friday night when they really probably didn't need to. The great thing is, they have done this for the last three years when I have visited Copenhagen. The menu selection seldom changes, but what they do,...More","Sydney, Australia"
0,"I booked a table online via their website on the Sunday morning for the Sunday evening.
The food was delicious- I had the potato croquettes to start which were delicious, my partner had the beef carpaccio which was also lovely.
I had the ribs for...More","Bournemouth, United Kingdom"
1,"Very tasty food and great atmosphere
This restaurant is also well located
I recommend it for a dinner with friends","Paris, France"
2,"We tried to get in on Saturday evening without a reservation but the place was fully booked and buzzing, so we booked for the following night instead. It was a very good decision.

We were seated upstairs and ordered drinks and the 5 course taster...More","Sheffield, United Kingdom"
3,My husband booked a table for us to celebrate our 10th wedding anniversary - we like places with good food and full of atmosphere. The restaurant had a real buzz about it - the service was fantastic and the food to die for.  I had...More,
4,"Great atmosphere, pleasant service. My duck was so delicious, I have to say my boyfriend wasn't too sure about his burger, slightly unusual combination with the bread (whatever it's called) next time he would go for the steak. 
Perfect, central location.",
5,"We really enjoyed our meal in this restaurant,  the food quality was excellent as was the service and atmosphere in the restaurant.  My husband had the burger which he said was the best he'd had whilst I had the pork dish which was amazing.  It...More","East Riding of Yorkshire, United Kingdom"
6,"Great food and setting. The pork schnitzel is delicious. My friends had the steak, cod and burger which were also really good!","London, United Kingdom"
7,Just wow! An Australian place in Copenhagen 😋 They serve Pavlova for desert for Pete's sake. The duck is amazing in this place (crispy and full of flavour). They've just made my day 😍,
8,Great little restaurant with friendly staff and an interesting variety of food. Just off Stroget and looks tiny at street level but most of the seating is upstairs. Prices are not cheap but reasonable for Copenhagen.,SWANSEA
9,"My partner booked this restaurant over email at he last minute and the lady was very accommodating! We sat at the front of the restaurant and the service was outstanding. Attentive staff, welcoming faces and incredible food! 

I had the small Surf and Turd, my...More","Taunton, United Kingdom"
0,"We ate at dinner at Tight on our first night in Copenhagen. Although it was quite full on a Friday night, they still gave us a table. Very friendly staff. Food was very good - we ate the burger and pork schnitzel. Prices are high...More",
1,"We had a pleasant time, the staff was friendly enough, as they are supposed to be, and the food was tasty enough, but I don't think the place is worth the hype. I prefer restaurants that have more personnality, and here it is really lacking.",
2,We went here for dinner while on a weekend break in Copenhagen. The restaurant itself has a very cool decor and is trendy without being pretentious. Service was very friendly and helpful and we really enjoyed our food and cocktails. Would definitely recommend and would...More,"London, United Kingdom"
3,"Went to Tight on Saturday while in Copenhagen for the weekend. Really enjoyed it, had the croquettes for starter, followed by the burger (which was awesome!).

Great food, great service, really nice place! Reasonably priced for Cph as well. Recommended.","Leamington Spa, United Kingdom"
4,"Everything about Tight restaurant worth a visit.

The place is wonderful, really chic and well attended. 
The location is great, for tourists (like me) and local people too.
The food is something special, from single dishes to tasting menu.
The staff is really kind and...More","Lecce, Italy"
5,"The atmosphere was great ! It was really full but luckily we made a reservation. We ordered surf and turf, the pork schnitzel and the creme brulee tasting for dessert ! 
( Remember to check the photos I've uploaded =D ) Anyway, all the foods...More",
6,"After getting a recommendation to go here we managed to get a late booking for our last night in Copenhagen.
Although it doesn't look much from the outside it is surprisingly like the tardis inside.
It has a great atmosphere and all the staff are...More",
7,"Eaten here three times now and never been disappointed. The staff are friendly and attentive, the restaurant is very central and the duck is highly recommended!","Preston, UK"
8,"Visited here in November, I had the Schnitzel and boyfriend had the ribs. Good was top quality and the wine paired with the meals was lovely. Would love to go again","Bristol, United Kingdom"
9,"We had listed this restaurant when researching possible eateries in Copenhagen - what a great choice! Met by the supervisor we were shown upstairs and introduced to Maria, a smiling, relaxed, chatty local with perfect English. Beers - local and good, sparkling water and a...More","Adelaide, South Australia"
0,Been there with my girlfriend for our anniversary. The food was amazing. The best burger i've ever had. And the Surf'n Turf was cooked perfectly. On top exceptional service and a small complimentary bottle of sparkling wine for our anniversary. Thanks for an excellent dinner!,"Jasper, Canada"
1,My husband and I had an enjoyable meal here whilst in Copenhagen. Nice range of cocktails and wines. Fast and efficient service. Dishes tasty and nicely presented. Book as was very busy when we visited and probably not a popular weekend for tourists so can...More,
2,"Lovely cosy atmosphere- does not look much from the outside but it it's huge upstairs! Nice friendly staff and the food is unreal! I had the half ribs and my boyfriend had the surf and turf, absolutely delicious!","Glasgow, Scotland, United Kingdom"
3,"Tight had a cool, lively but relaxed atmosphere. The food was good and more reasonably priced than other restaurants we visited in Copenhagen. A good choice for anyone looking for gluten free dining. Menu is clearly marked letting you know which dishes can be made...More","Cheltenham, United Kingdom"
4,"The steak I got was excellent, and the wine that goes with it. But the star of the night for me is ""Pavlova"", the dessert. I usually judge the restaurant by they desserts, and this one was one to remember.
The waitress was very pleasant,...More",copenhagen
5,"Based on Trip Advisor reviews, my girlfriend and I decided to eat here for our last night in Copenhagen. The interior is very pretty, and feels cosy and romantic. 

The menu is select, but a good variation of different options. Our waiter was very friendly...More","Birmingham, United Kingdom"
6,"Charming location in the center of the city, the location of Tight has a definite charm of its own. The entrance hides a nice restaurant on the first floor. Service is excellent, I cannot say otherwise. Food is good, not superb. I had the Confit...More",
7,"This is primarily about my latest visit, but I've been here before hosting a large group of colleagues, then another time with my wife, and a couple more times with friends. Consistently a good experience. Nice relaxed ambience even when busy. If you are with...More","Copenhagen, Denmark"
8,"We choose here based on TripAdvisor reviews and it did not disappoint. Food was really tasty,we had the potato croquette and salmon starters ,pork schnitzel, surf and turf and crème brulee all outstanding. Thanks Emma for the excellent service, we really enjoyed our night and...More","Killarney, Ireland"
9,"Even if I am Italian I write it in English so people all over the world can read that for me this is the best place to eat very good food at an affordable price in Copenhagen!
I was there on Jan. 1st 2016 for...More","Milan, Italy"
0,"Thank you Emma for making us so welcome and providing us all with very tasty and inviting food
Thoroughly enjoyed our birthday celebration evening; the complimentary pink bubbly to start did help! 😝","Elvaston, United Kingdom"
1,"Danish friends recommended Tight, and they weren't wrong. Fabulous service from lovely attentive staff. Food was fabulous - starter: salmon gravlax; main: pork escalopes. Each absolutely delicious. And as it was my birthday, my group was treated to a glass of complimentary pink bubbly. Perfect.","Derby, United Kingdom"
2,"Three of us visited this restaurant and had a great experience, surf and turf was amazing.
Service friendly and quick.

FYI I had a little awkward situation when I fell down a few steps in in the staircase, so watch out it's a little slippery,...More",
3,"This is a good  place to have a meal. The steak was very good, the ribs were poor and they had run out if some of the mains, the atmosphere was nice. Service was adequate and my only contention is that they charge for tap...More","Leicester, United Kingdom"
4,"Make sure you book before hand. Ring if you can't book through the website- we did for our group of 8. 
The food was beautiful! I was very jealous of my friends ribs but still loved my duck.
Would highly recommend this restaurant when visiting...More",
5,"Been here twice, both visits have been good, The food is solid and the staff is really nice. The intimate atmosphere makes the whole visit even better, Recommended.","Bergen, Norway"
6,Nice vibe.  Food was really good and eclectic. I enjoyed the fish cooked in parchment which had some asian flavors.  My daughters duck was excellent. Would go back again.,"San Jose, California"
7,"We booked our NYE dinner at Tight based on Trip Advisor reviews but the occasion surpassed even our highest expectations. The staff were extremely helpful ahead of our visit, helping us to pay online. The 5 course meal, with accompanying drinks, was truly excellent. Well...More","Hitchin, United Kingdom"
8,We visited this shawody and atmospheric restaurant on Friday evening with a reservation which was a good thing since the place was packed out. The welcoming and service were excellent: the staff seemed to be in a good mood so besides attentive service we also...More,"Helsinki, Finland"
9,I had diner here with my wife and we had a great time. The waitress are nice and the food was great. I had the ribs (+++) and my wife the burger (meat overcooked but good). We shared the Apple & blueberry crumble That was...More,"Paris, France"
0,"I visited the restaurant with my boyfriend at the end of our weekend away in Copenhagen. It was such a treat and a wonderful end to our perfect mini break! 

Gorgeous food, super friendly staff and lovely decor. We had delicious food. My particular highlights...More",
1,"We had our NYE dinner at Tight, 8 people. The 5 course meal with wine was perfect and the service sublime. Veggie option was  excellent. Laidback Australian luxury...",
2,"Visited here as part of my birthday trip to Denmark in November. The food was great, as was the cocktails. The staff were very friendly and there was a great atmosphere in the restaurant.  I had mussels to start then risotto, both lovely. We were...More","London, United Kingdom"
3,"New Year's Eve dinner, party of five, one of us unable to come, no problem; one of us vegan, no problem.  Courteous reception, nice ambience and decor in a safe neighborhood right off the touristy area.  Five courses with cocktail and wine, superb food, each...More",Western Massachusetts
4,"Fantastic food and super kind staff, smart selection of dishes perfectly made! If you go to Copenhagen you have to try it!","Verona, Italy"
5,We cannot fault Tight. We like our steaks and have been to a lot of steak restaurants so Tight had some competition! Their surf and and turf did not disappoint and is definitely up there with some of the best steak we have had. You...More,"Kent, United Kingdom"
6,"We fancied a cheap meal out and came across 'Tight' on Tripadvisor. We were not disappointed, the food was incredible and the staff were really friendly. I went for the surf and turf which was spot on, but my partner went for the ribs, and...More","High Wycombe, United Kingdom"
7,"Went on spec and despite being full they went out of their way to accommodate us. Only had to wait about 10 mins and we were shown to our table by the very friendly and positive FOH staff. 
We shared beef carpaccio to start which...More","Newnham-on-Severn, United Kingdom"
8,Great place for a dinner in Copenhagen and the service was really great from all the staff involved. The only thing that let it down slightly was the menu was limited as they had run out of quite a number of dishes... But the food...More,
9,"Definitely recommend this place - great service, a small menu but the food was uncomplicated and really very good plus there was a really good vibe to the place, great lighting and atmosphere. Go there.","London, United Kingdom"
0,"On Sunday nights lots of restaurant in Copenhagen are closed. So we asked the lady behind the reception for a suggestion. She told us about Tight, which was her favorite restaurant. She made us a reservation.
We were kindly received and got a nice table....More","Dendermonde, Oost-Vlaanderen, Belgium"
1,"We went to Tight to get something different than the typical Danish Christmas cuisine one tends to get too much of in December and we were not disappointed. The food is great, steaks are awesome and so is the wine and appetisers. The owners are...More","Copenhagen, Denmark"
2,"Had a good experience a few days ago when I went here with a friend. I went for the cod with ""baby"" potatoes and seasonal greens. It is delightful, light and well seasoned. My companion went for the 'SURF 'N TURF' which seems to be...More","Copenhagen, Denmark"
3,"Brilliant atmosphere, delicious food (pork and surf and turf) and lovely waiting staff - highly recommend with good value for money :)",
4,A local friend recommended Tight to us and we had our first dinner in Copenhagen here - absolutely no let downs whatsoever for us!  I think what we loved most was that the menu offered up an incredible array of dishes that appealed to all...More,"Wilmington, Delaware"
5,Had a very tasty surf and turf here with beautifully cooked steak. Service could have been a bit more attentive but overall would recommend.,
6,"Great atmosphere, food, drinks and staff. I would highly recommend a trip here whilst in Copenhagen. It's in a good central location near lots of good bars too.",London
7,"Tight never disappoints which is probably why I have come here so often - with friends, girlfriend and family.
This is not haute cuisine or a place to go for a quiet romantic meal but its pretty much perfect for every other occasion. Great interior,...More",
8,"We booked to eat here on our first night and we are so glad we did. The staff are amazing, really friendly and they work so hard. The decor is awesome, there is a mixture of high and low tables, exposed brick and great lighting...More","Greater London, United Kingdom"
9,Picked Tight from reviews on Tripadvisor and we were not disappointed. The restaurant had a great atmosphere and still very busy even though it was 9.30. Not a huge choice on the menu but still difficult to choose as they all sounded so good. For...More,"Crosby, United Kingdom"
0,"This is a great place to go with dinner with friends, we had a great evening and the staff were very attentive.","Aberdeen, United Kingdom"
1,"Went there for dinner. We ordered a burger, surf and turf and the duck. The food and service was very good. The negative side was that we got a table by the stairs, a very loud and busy place to sit. Wished we got a...More","Reykjavik, Iceland"
2,Nice place for dinner and drinks. The menu was interesting and everything we tried was good. Drinks were excellent and I really liked the monkey they hang on the side. Small touch but makes it different from other places.,"Brooklyn, New York"
3,"Brilliant place definitely recommend 
Food great staff great not expensive 
Totally worth it we all had surf and turf brilliant taste !",
4,"Warm welcome, romantic environment , friendly and fantastic delicious food. Love the tight cocktail . We ordered surf and turf. My husband love the well cooked beef and the carpaccio starter is my favourite . Reasonable prices.",
5,"Upon first walking in I loved Tight. The vibe is super cozy (hygge as the Danes say). There was 7 of us and we got our own little spot upstairs in a corner, it was perfect. Everything from the cocktails to dessert was fantastic. Some...More","Milan, Italy"
6,"The food was excellent, we ate the mussels, and they are my favorite mussels i've ever eaten. I do recommend to eat the mussels here! I ate for main course the risotto, it was okey, but not mindblowing. And my partner ate the ribs, and...More",
7,Made a reservation through the website and I'm glad we did as people were being turned away if they hadn't made a reservation. Amazing food and service! The surf and turf was amazing!! Possibly the nicest steak we've ever had. Staff were really friendly and...More,"Halesowen, United Kingdom"
8,"We stopped here on a whim & were so pleased we did - cosy atmosphere despite the busyness, the food was absolutely delicious, very reasonably priced and the wait staff were lovely. One of our favourite dinners in Copenhagen.",Edinburgh
9,"We had dinner here last Saturday night after a recommendation from a friend and both agreed it was one of the best meals we have had in recent times. We unfortunately could not get a booking made online but when walking past, decided to call...More",United Kingdom
0,"I'm still talking about how good the food was in this place- highly highly recommend, a little more than the average price but worth every penny! Recommend the potato croquettes to start and the burger! Great staff and well finished restaurant!","Waringstown, United Kingdom"
1,"I was impressed with Tight. Kudos to the staff who were extremely friendly and accommodating. I dined on the first floor but really enjoyed the quaint atmosphere in that section. Tight had a small but good selection of draft beers, which the staff did a...More","Orlando, Florida"
2,"In this very cosy and laid back atmosphere a peculiar mix of Canadian, French, and Australian style have settled in and materialized through a very welcoming staff with all kinds of cultural backgrounds. 

We decided for a five course tasting menu with accompanying wines, which...More","Odder, Denmark"
3,Booked a table over the internet. Arrived and received a very friendly welcome and taken straight to our table even though we were early. Lovely setting on three levels. Food excellent. Service spot on. Would recommend wholeheartedly.,Haslingden
4,"Food and service was great, the staff were very friendly and the cocktails were great. Reasonably priced and would definitely recommend","Luton, United Kingdom"
5,"We simply love this quirky restaurant - quirky is the building - the food is excellent and comes highly recommended - we are especially fans of the Schnitzel Deluxe, Surf 'n Turf and okse carpaccio - the service is always fun and engaged - Tight...More","Copenhagen, Denmark"
6,"After googling top 10 restaurants in Copenhagen this was one of the choices. We went to this restaurant on a Friday evening. It was busy, friendly atmosphere and great food. 

Thoroughly enjoyed the it and would highly recommend.","Bromley Cross, United Kingdom"
7,Maria made us feel very welcome and nothing seemed too much trouble. We had a great meal - the Tight Burger is really tasty - served in a focaccia! I had pork medallion schnitzel with potato gratin which was really tasty. Have given 4 stars...More,"Cambridgeshire, United Kingdom"
8,"Went with friends on a Tuesday night was busy but was told to come back at nine,was worth the wait.all I can say was everything from staff , food ,drink etc was great.Will be back",.Elgin
9,"This is a fantastic restaurant.  The staff are great and the food is fantastic!  They even have their own lager brewed for them.  The food was absolutely delicious and very well presented, I think it's the best bleu steak I've ever had!  The restaurant also...More","Skipton, United Kingdom"
0,"City centre location, very friendly and attentive staff. Interesting menu went for the 5 course taster. Good but not exceptional. This restaurant is obviously very popular so would suggest booking. Prices fair. Will definitely return.","Buckinghamshire, United Kingdom"
1,"Great service from the Australian waitress.
Atmosphere was relaxed, food was good (not outstanding - try Maven for that).
Prices more reasonable that at some other Copenhagen restaurants, especially on the alcohol side.","South East England, United Kingdom"
2,"Cozy restaurant in the city center , with a fine selection of dishes. The food is great and the prices very fair. The staff is friendly and the food served at a reasonable pace . A place I will visit again.","Grasten, Denmark"
